bigram phrase,frequency
of the,848
in the,786
this country,670
we have,538
that is,512
it is,470
in this,450
we are,406
going to,394
to the,380
that we,380
and the,330
and i,322
and that,310
when we,300
is not,288
the world,282
is a,280
to be,278
on the,276
united states,272
you know,268
in america,264
all of,260
is the,256
the united,250
in a,246
let me,242
want to,230
talk about,230
millions of,228
people in,226
to do,222
and we,204
have a,200
is that,200
we need,198
health care,192
this is,192
the american,190
that the,188
wall street,184
middle class,174
not just,172
about the,170
tell you,170
to get,168
people who,166
as a,166
there is,164
we can,164
able to,158
all over,158
we talk,154
of people,152
they are,150
a lot,150
our country,150
american people,148
are going,146
by the,146
young people,146
i want,144
what we,142
for the,140
of this,140
need to,140
if you,140
and when,140
out of,138
go to,138
have to,138
of our,136
we must,136
to make,134
country on,134
do not,132
in my,132
have the,132
on earth,132
i have,132
to go,132
i think,130
the people,128
i will,122
the top,122
one of,122
i am,120
major country,120
with the,120
is what,118
lot of,118
percent of,118
if we,118
country and,118
the middle,118
got to,116
not be,116
people are,116
and what,116
you have,116
of america,110
talking about,110
who are,108
should be,108
that i,106
is to,106
at the,104
be able,104
to work,104
is about,104
the bottom,102
the last,102
what the,102
i was,102
for all,100
what they,100
that they,98
of you,98
when you,98
we should,96
and a,96
and they,96
climate change,96
one percent,96
we do,96
does not,96
the political,96
not only,96
working families,94
what i,94
know that,92
should not,92
in jail,92
trying to,92
to college,92
the way,90
to have,90
you are,90
than any,90
any other,90
will be,90
this campaign,90
in our,90
billion dollars,88
over this,88
of a,86
i believe,86
of their,84
to all,84
thank you,84
to me,82
history of,82
and not,82
which is,82
over the,82
people and,80
i don't,80
will not,80
have been,80
the wealthiest,80
not a,78
to a,78
all the,78
more than,78
we will,78
top one,78
and in,76
the same,76
african american,76
is why,74
to say,74
for a,74
a very,74
it was,74
are working,74
the history,74
have got,74
back to,72
do it,72
know what,72
not have,72
are not,72
they want,72
in which,72
the most,72
from the,72
a nation,70
social security,70
the right,70
but we,70
and it,70
the only,70
when they,70
has been,68
get a,68
high school,68
who have,68
my view,68
and let,68
you all,68
today in,68
some of,68
we all,68
supreme court,68
a few,68
of that,68
that in,66
make it,66
but i,66
income and,66
do that,66
why i,66
is going,66
years ago,66
and this,66
there are,66
minimum wage,66
the highest,64
states of,64
american democracy,64
people of,64
many of,64
the fact,64
the best,64
citizens united,64
they have,64
many people,64
family values,64
and wealth,64
believe that,64
understand that,62
of all,62
a political,62
political revolution,62
continue to,62
more people,62
of us,62
into the,62
and then,62
the great,62
living in,60
me tell,60
you to,60
as the,60
a handful,60
be a,60
thousands of,60
they were,60
the republican,60
we were,60
to tell,58
so many,58
don't have,58
up and,58
the economy,58
our people,58
handful of,58
wealthiest people,58
country in,58
brothers and,58
we want,58
must be,58
very very,58
when i,56
wealth inequality,56
when the,56
we're going,56
campaign is,56
just a,56
jobs and,56
if they,56
not the,56
hundreds of,56
a year,56
of my,56
at a,56
fact that,56
and you,56
say that,56
to end,56
think about,56
here in,54
the billionaire,54
have more,54
dollars in,54
too big,54
koch brothers,54
of them,54
is something,54
of millions,54
as well,54
people to,54
issue of,54
country we,54
get the,54
make sure,54
political process,54
to this,52
to take,52
and if,52
million people,52
to create,52
as much,52
about is,52
they need,52
right to,52
that you,52
the koch,52
people have,52
america and,52
so i,52
time when,52
i know,50
up to,50
mental health,50
well as,50
and all,50
a little,50
big to,50
live in,50
right now,50
men and,50
i can,50
but it,50
create a,50
criminal justice,50
what you,50
all people,50
the federal,50
for president,48
care to,48
we've got,48
you can,48
of one,48
the government,48
that it,48
i do,48
give you,48
working people,48
america is,48
class and,48
for our,48
real unemployment,48
billionaire class,48
it's not,48
to you,48
sure that,48
very much,48
they will,48
what this,48
their lives,48
the and,46
works for,46
and our,46
result of,46
what it,46
of americans,46
and women,46
a week,46
of dollars,46
want you,46
america today,46
million americans,46
on wall,46
the country,46
the first,46
is an,46
working class,46
corporate america,46
those who,46
change is,46
to put,44
in terms,44
don't know,44
was a,44
and sisters,44
interest rates,44
a great,44
rate of,44
about that,44
a result,44
our kids,44
other country,44
a time,44
with a,44
not what,42
together we,42
those people,42
stand up,42
of any,42
unemployment is,42
the largest,42
you that,42
the truth,42
in fact,42
very clear,42
prepared to,42
can do,42
youth unemployment,42
around the,42
are in,42
that when,42
as president,42
part of,42
hundred and,42
tenth of,42
and by,42
terms of,42
the minimum,42
the senate,42
one tenth,42
than the,42
of money,42
in many,42
given up,40
world and,40
to my,40
us to,40
student debt,40
any major,40
president of,40
today we,40
a right,40
that people,40
state of,40
the democratic,40
jail than,40
that works,40
that was,40
the media,40
economy that,40
class of,40
we cannot,40
not acceptable,40
have seen,40
and many,40
not going,40
know i,40
because they,40
and i'm,40
financial institutions,40
as we,38
raise the,38
on a,38
months ago,38
that our,38
we stand,38
we had,38
of thousands,38
the house,38
but the,38
against the,38
came to,38
nation in,38
to help,38
deal with,38
our economy,38
country that,38
away from,38
more money,38
paying jobs,38
only major,38
you will,38
to see,38
of working,38
hours a,38
health insurance,38
they say,38
and other,38
bernie sanders,38
that does,38
to fail,38
an hour,38
kids and,38
that every,36
way to,36
affordable care,36
the issue,36
not about,36
that if,36
because of,36
work with,36
tax breaks,36
the working,36
it makes,36
something that,36
about it,36
it and,36
other major,36
african americans,36
our job,36
going on,36
it means,36
something profoundly,36
what is,36
how we,36
gonna be,36
their kids,36
not guarantee,36
be the,36
since the,36
are the,36
you can't,36
their families,36
justice system,36
an economy,36
order to,34
me be,34
a huge,34
because we,34
that there,34
fossil fuel,34
guarantee health,34
voter turnout,34
a half,34
opportunity to,34
which we,34
be very,34
means that,34
by a,34
longer hours,34
do we,34
family and,34
in order,34
they don't,34
tell me,34
end up,34
bottom 90,34
us and,34
to change,34
the affordable,34
up in,34
would be,34
stand together,34
radical idea,34
this election,34
so much,34
a hundred,34
to come,34
kind of,34
me that,34
thousand dollars,34
it will,34
about this,34
do is,34
we face,34
of what,34
care act,34
afford to,34
to vote,32
and their,32
too many,32
families and,32
go out,32
where we,32
fight for,32
up on,32
to our,32
so we,32
believe in,32
the reason,32
you and,32
america we,32
a candidate,32
earth and,32
so what,32
when people,32
many many,32
to stand,32
political system,32
so that,32
at all,32
is all,32
introduced legislation,32
the very,32
you what,32
in poverty,32
almost as,32
to know,32
talked about,32
the white,32
no longer,32
they said,32
an issue,32
highest rate,32
and people,32
the kids,32
i hope,32
low wages,32
rather than,32
to defend,32
now when,32
today is,32
for people,32
on in,32
that he,32
new income,32
the supreme,32
need a,30
looking for,30
come together,30
our energy,30
my state,30
know the,30
of these,30
a way,30
is nothing,30
college and,30
for low,30
may be,30
when millions,30
look at,30
of young,30
way that,30
they do,30
are living,30
south carolina,30
i would,30
are trying,30
to talk,30
up the,30
on this,30
the day,30
to jail,30
to spend,30
voted against,30
people on,30
low income,30
but what,30
little bit,30
democracy is,30
money in,30
they can,30
to send,30
you the,30
supposed to,30
people together,30
no matter,30
level of,30
are you,30
have no,30
that this,30
that no,30
have made,30
as i,30
any time,30
the reality,30
profoundly wrong,30
job is,30
to buy,30
economy and,30
energy system,30
this room,30
out and,30
and to,30
to protect,30
a family,30
you may,30
number of,30
out there,30
put their,30
new hampshire,30
that all,30
education and,28
that are,28
republican party,28
people working,28
and millions,28
are saying,28
country is,28
most important,28
wanted to,28
the line,28
has to,28
do you,28
are a,28
of childhood,28
in their,28
that's what,28
states government,28
issues facing,28
had a,28
born in,28
over america,28
involved in,28
them to,28
have given,28
in prison,28
childhood poverty,28
great country,28
the rich,28
dollars a,28
how many,28
in recent,28
be about,28
together and,28
much of,28
the issues,28
energy efficiency,28
of those,28
illegal behavior,28
all single,28
kids in,28
that as,28
my mind,28
is more,28
to think,28
we don't,28
and that's,28
invest in,28
many other,28
that because,28
other countries,28
much well,28
is no,28
people not,28
world in,28
here is,28
this planet,28
of american,28
more wealth,28
people with,28
of vermont,28
in vermont,28
the greed,26
new york,26
one vote,26
you do,26
medicare for,26
the opportunity,26
lead the,26
me just,26
hard to,26
that's the,26
together to,26
for work,26
not allow,26
poverty of,26
our time,26
to understand,26
the state,26
and yet,26
got a,26
about what,26
are all,26
and income,26
now i,26
wealthiest country,26
we're gonna,26
the other,26
it to,26
for women,26
this issue,26
that but,26
from a,26
and get,26
one family,26
was in,26
of wall,26
just the,26
time and,26
what that,26
worry about,26
regardless of,26
millionaires and,26
decent paying,26
almost all,26
is in,26
kids to,26
are gonna,26
has a,26
and billionaires,26
for me,26
end of,26
two years,26
money and,26
will do,26
these are,26
the time,26
white house,26
is too,26
we know,26
went to,26
a good,26
is over,26
a moral,26
for their,26
we say,26
burlington vermont,26
republican budget,26
they should,24
a radical,24
today than,24
but when,24
the entire,24
on and,24
you don't,24
what are,24
try to,24
americans are,24
a campaign,24
single payer,24
do with,24
we live,24
to those,24
was the,24
no president,24
caused by,24
what happens,24
but in,24
do a,24
efficiency and,24
time since,24
time to,24
what's going,24
i'm not,24
through the,24
states and,24
