word,frequency
people,1858
country,1216
one,598
know,572
america,536
going,476
today,470
american,430
want,428
get,424
working,406
many,402
well,368
world,366
percent,356
need,356
united,356
political,344
time,328
go,318
class,314
years,310
make,300
states,298
care,296
let,296
jobs,292
campaign,292
talk,288
health,286
right,286
say,284
family,276
work,272
like,272
millions,270
think,270
us,266
much,266
president,264
kids,262
got,262
tell,252
must,252
families,246
every,244
americans,242
wall,242
money,240
don't,234
system,234
together,232
young,232
income,230
dollars,228
economy,226
great,222
way,218
major,210
that's,210
street,208
would,208
issue,204
middle,200
i'm,200
change,200
believe,194
lot,192
said,188
school,184
it's,182
wealth,178
billion,178
something,174
last,174
women,174
million,174
college,170
republican,166
education,166
able,164
two,164
we're,162
job,162
government,162
almost,158
jail,158
also,158
vote,156
back,156
police,154
nation,152
unemployment,152
democracy,150
top,150
create,146
three,146
see,146
end,144
gonna,144
good,142
real,138
history,138
big,138
workers,136
new,134
earth,134
state,132
ago,132
cannot,130
year,128
high,126
home,126
issues,124
wage,124
wealthiest,122
talking,122
help,122
understand,122
thank,120
hard,120
put,120
take,120
economic,118
children,116
come,114
fact,114
african,112
fight,112
they're,112
can't,112
public,110
low,110
life,110
came,110
financial,108
without,108
brothers,108
justice,108
give,108
day,106
bottom,106
bernie,106
paying,106
white,104
living,104
energy,104
stand,104
person,104
made,102
legislation,102
hours,102
else,102
never,102
vermont,100
view,100
000,100
democratic,100
means,100
election,98
clear,98
important,98
continue,96
program,96
tax,96
climate,96
trying,96
house,94
you're,94
serious,94
citizens,94
little,92
poverty,92
may,92
social,90
security,90
federal,90
applause,90
live,90
look,88
really,88
support,88
point,88
wages,88
republicans,88
things,86
uh,86
hundred,86
inequality,86
sure,84
1,84
long,84
trade,84
best,82
media,82
win,82
five,82
rights,82
even,82
pay,82
first,80
around,80
another,80
huge,80
10,80
given,80
billionaire,78
problems,78
week,78
politics,78
everybody,78
could,78
black,78
i'll,78
rate,78
idea,76
revolution,76
done,76
court,76
already,76
away,74
interest,74
men,74
wrong,74
longer,74
process,74
old,74
debt,74
lives,74
saying,74
supreme,72
use,72
guarantee,72
act,72
minimum,72
party,70
congress,70
didn't,70
what's,70
candidate,70
works,70
values,70
pretty,70
largest,70
part,70
months,70
half,68
community,68
corporate,68
prison,68
small,68
establishment,68
we've,68
human,68
countries,68
bring,68
thousands,68
making,68
reason,68
billionaires,68
makes,66
wealthy,66
tonight,66
maybe,66
seven,66
highest,66
parents,66
yet,66
free,66
woman,66
hope,64
allow,64
handful,64
room,64
seen,64
leave,64
fair,64
criminal,62
thousand,62
rates,62
hundreds,62
friends,62
nothing,62
since,62
fifty,62
child,60
lost,60
result,60
dollar,60
movement,60
four,60
level,60
corporations,60
six,60
moral,60
decent,60
student,60
better,60
enough,60
sense,60
looking,58
somebody,58
number,58
mental,58
youth,56
billions,56
facing,56
paid,56
line,56
radical,56
raise,56
cut,56
40,56
mean,56
still,56
insurance,56
war,56
medicare,56
infrastructure,56
banks,54
senate,54
elected,54
power,54
yes,54
large,54
drug,54
koch,54
illegal,54
despite,54
case,54
truth,54
ask,54
break,54
opportunity,54
reality,54
proud,54
called,54
rich,54
greed,54
address,54
decision,52
planet,52
goes,52
super,52
budget,52
veterans,52
provide,52
society,52
afford,52
elections,52
terms,52
went,50
less,50
reform,50
spend,50
forty,50
needs,50
city,50
sisters,50
there's,50
start,50
quality,50
coming,50
baby,50
whether,50
control,50
getting,50
deal,50
thing,50
affordable,48
mind,48
protect,48
gay,48
matter,48
30,48
running,48
stop,48
breaks,48
law,48
enormous,48
times,48
50,48
racism,48
promise,48
sanders,48
senator,48
medical,46
thought,46
grandchildren,46
90,46
voter,46
communities,46
acceptable,46
global,46
thirty,46
happen,46
run,46
bank,46
guys,46
anybody,46
committee,46
love,46
contributions,46
hampshire,46
china,46
hour,46
always,44
find,44
water,44
place,44
single,44
knows,44
second,44
simple,44
become,44
man,44
virtually,44
institutions,44
burlington,44
far,42
dream,42
introduced,42
different,42
problem,42
recent,42
beautiful,42
11,42
entire,42
clearly,42
university,42
talked,42
higher,42
fossil,42
nobody,42
candidates,42
programs,42
everything,42
alone,42
washington,42
drugs,42
tenth,42
days,42
prepared,42
nineteen,42
worker,40
exactly,40
international,40
voted,40
defend,40
struggle,40
let's,40
lead,40
companies,40
close,40
age,40
situation,40
rather,40
15,40
everyone,40
turnout,40
office,40
order,40
progressive,40
full,40
fail,40
kind,40
trillion,40
says,40
send,40
turn,38
food,38
message,38
profoundly,38
fuel,38
taxes,38
future,38
saw,38
born,38
share,38
ideas,38
crisis,38
immigration,38
move,38
throughout,38
broken,38
transforming,38
face,38
100,38
study,38
5,38
here's,38
disastrous,38
bit,38
told,36
27,36
kid,36
hear,36
words,36
record,36
sick,36
iowa,36
bill,36
whole,36
strong,36
wanted,36
marijuana,36
organization,36
including,36
economics,36
happened,36
buy,36
iraq,36
business,36
massive,36
lower,34
fighting,34
debate,34
bush,34
across,34
medicaid,34
question,34
profits,34
department,34
powerful,34
bad,34
worked,34
south,34
poor,34
transform,34
month,34
please,34
creating,34
along,34
begin,34
feel,34
reasons,34
jails,34
nine,32
20,32
lose,32
involved,32
worry,32
bucks,32
voting,32
individual,32
true,32
region,32
twenty,32
later,32
behavior,32
race,32
color,32
childhood,32
latino,32
probably,32
spending,32
prices,32
doesn't,32
call,32
benefits,32
invest,32
i've,32
interests,32
crumbling,32
happens,32
walk,32
comes,30
dad,30
policies,30
ninety,30
credit,30
prescription,30
richer,30
might,30
increase,30
burning,30
likely,30
healthcare,30
supposed,30
regardless,30
finance,30
questions,30
sometimes,30
sustainable,30
found,30
member,30
carolina,30
ran,30
unless,30
3,30
per,30
activity,30
educated,28
isis,28
heard,28
tired,28
refinance,28
58,28
efficiency,28
difficult,28
stay,28
medicine,28
exist,28
progress,28
former,28
learn,28
millionaires,28
yeah,28
significant,28
average,28
word,28
mom,28
received,28
ten,28
story,28
eight,28
sixty,28
crazy,28
industrialized,28
colleagues,28
third,28
cost,28
simply,28
wisconsin,28
industry,28
hands,28
course,28
remember,28
worst,26
bailed,26
asked,26
york,26
collapse,26
others,26
keep,26
passed,26
payer,26
democrats,26
takes,26
mayor,26
tuition,26
lack,26
doctors,26
socialism,26
gone,26
thinking,26
father,26
successful,26
include,26
next,26
agreements,26
policy,26
moment,26
rest,26
official,26
services,26
gets,26
model,26
depression,26
someone,26
agenda,26
graduated,26
individuals,26
welcome,26
struggling,26
opposition,26
responsibility,26
national,26
technology,26
causing,26
nations,26
goal,26
colleges,26
ordinary,24
standing,24
try,24
violent,24
devastating,24
couple,24
grade,24
save,24
disappearing,24
recklessness,24
took,24
instead,24
compared,24
throw,24
incarceration,24
cases,24
serve,24
name,24
beings,24
caused,24
whose,24
weekend,24
fall,24
cycle,24
universities,24
backs,24
created,24
controlled,24
period,24
7,24
often,24
buying,24
we'll,24
rebuild,24
overturn,24
cents,24
changes,24
based,24
rebuilding,24
seeing,24
worried,24
pac,24
owns,24
expand,24
recently,24
toward,24
worse,22
crime,22
25,22
legal,22
totally,22
heart,22
degree,22
type,22
anything,22
show,22
helping,22
undocumented,22
equity,22
union,22
okay,22
2008,22
game,22
absolutely,22
turns,22
body,22
environmental,22
drop,22
meeting,22
defeat,22
17,22
answer,22
departments,22
costs,22
roads,22
decades,22
