trigram phrase,frequency
in this country,348
the united states,246
and that is,230
we talk about,144
when we talk,142
the american people,142
are going to,140
we are going,126
country on earth,122
in the world,102
the middle class,100
a lot of,98
be able to,98
major country on,94
people in this,94
one of the,90
of this country,90
and when we,88
we need to,88
it is not,88
all over this,86
we have a,82
millions of people,82
over this country,82
the top one,74
that we have,74
in the history,70
of the united,68
the history of,68
than any other,68
and let me,66
have got to,66
i want to,66
should not be,66
we have got,66
in my view,66
to the top,64
states of america,64
united states of,64
all of the,64
is going to,62
that is why,62
of the world,60
this is what,60
history of the,60
let me tell,58
by the way,56
the fact that,56
they want to,56
a handful of,56
of the american,56
we're going to,56
people in jail,54
we have to,54
that is not,54
me tell you,54
to go to,54
income and wealth,54
it is a,52
go to college,52
that is the,52
our country and,52
that we are,52
the koch brothers,52
all of you,52
people who are,50
too big to,50
and wealth inequality,50
wealthiest people in,50
the political process,50
and this is,48
this country and,48
health care to,48
all of us,48
percent of the,48
there is something,46
is why i,46
climate change is,46
we do not,46
on wall street,46
top one percent,46
the billionaire class,46
in the last,46
brothers and sisters,44
any other country,44
some of the,44
this campaign is,44
of millions of,44
you know what,44
to make sure,42
men and women,42
one tenth of,42
more people in,42
talk about the,42
that is what,42
the minimum wage,42
of one percent,42
able to get,42
and not just,40
millions of americans,40
going to be,40
a political revolution,40
to all of,40
in terms of,40
what we have,40
and we are,40
going to the,40
we have more,40
not just a,40
a result of,40
is not acceptable,40
and we have,38
jail than any,38
care to all,38
as a nation,38
make sure that,38
tenth of one,38
any major country,38
in jail than,38
to get a,38
as a result,38
the wealthiest people,38
want you to,38
to tell you,38
there is a,36
the only major,36
today in america,36
country in the,36
that works for,36
and by the,36
not going to,36
i want you,36
is something profoundly,36
middle class of,36
i believe that,36
only major country,36
president of the,36
we have the,36
back to work,36
at a time,36
criminal justice system,36
in america today,34
out of the,34
campaign is about,34
the affordable care,34
a time when,34
that does not,34
big to fail,34
of you know,34
does not guarantee,34
as the bottom,34
in our country,34
that is a,34
guarantee health care,34
hundreds of thousands,34
and it is,34
the right to,34
the bottom 90,34
just a handful,32
almost as much,32
have more people,32
what we are,32
the highest rate,32
affordable care act,32
people who have,32
the people of,32
in order to,32
if we are,32
of thousands of,32
living in poverty,32
and a half,32
that we can,32
this country we,32
raise the minimum,32
we have seen,32
on earth and,32
let me be,32
other major country,30
to this country,30
live in a,30
our energy system,30
for our kids,30
top one tenth,30
but it is,30
young people who,30
when we stand,30
something profoundly wrong,30
what this campaign,30
hours a week,30
in the united,30
an economy that,30
a little bit,30
works for all,30
for all of,28
around the world,28
tell you what,28
that we should,28
is not about,28
when millions of,28
be very clear,28
dollars a year,28
this is not,28
this is a,28
came to this,28
is that we,28
of our people,28
the supreme court,28
the world and,28
highest rate of,28
rate of childhood,28
united states government,28
are trying to,28
you know i,28
any other major,28
we should be,28
in this room,28
that is that,28
for all single,28
have the highest,26
that we face,26
thank you all,26
to stand up,26
this country that,26
trying to do,26
on the line,26
of childhood poverty,26
well as the,26
and i want,26
medicare for all,26
to say that,26
of young people,26
all over america,26
the world in,26
as much well,26
to be able,26
is not what,26
in the middle,26
in a way,26
in america and,26
let me just,26
all over the,26
of wall street,26
economy that works,26
to make it,26
there is nothing,26
we are gonna,26
much well as,26
class of this,26
we stand together,26
is not the,26
looking for work,26
millionaires and billionaires,26
people are working,26
on the political,26
decent paying jobs,26
and i have,26
to have a,24
our job is,24
the republican budget,24
what's going on,24
that we need,24
i don't know,24
have given up,24
tell you something,24
of our country,24
the white house,24
any time since,24
to deal with,24
he or she,24
country we have,24
if we do,24
tell you that,24
we need a,24
childhood poverty of,24
to do that,24
to me that,24
and i am,24
in my state,24
to get the,24
going to do,24
state of vermont,24
to all people,24
all single payer,24
supposed to be,24
all of our,24
to the people,24
is about is,24
the working families,24
will be able,24
middle class and,24
that the united,24
we are not,24
the republican party,24
at the same,24
energy efficiency and,24
that in the,24
away from fossil,24
are living in,24
and all over,24
the opportunity to,22
we will not,22
have a moral,22
this is the,22
in the wealthiest,22
put their lives,22
hundred and fifty,22
will not be,22
and i will,22
is what they,22
going on in,22
their lives on,22
we want to,22
up on the,22
more wealth than,22
not be able,22
all new income,22
to do is,22
to create a,22
our kids and,22
than the bottom,22
to do it,22
by human activity,22
we can do,22
it is the,22
the wealthiest country,22
the issue of,22
of our time,22
of people who,22
not just the,22
talk about our,22
billions of dollars,22
the rest of,22
issue of our,22
over the world,22
go back to,22
when we have,22
is already causing,22
in america we,22
create millions of,22
is that the,22
working longer hours,22
need to do,22
a living wage,22
caused by human,22
for low wages,22
broken criminal justice,22
and millions of,22
a super pac,22
is not just,22
are not going,22
are talking about,22
in recent years,22
the most important,22
so many people,22
talking about the,22
change is real,22
to talk about,20
that there is,20
of any major,20
up looking for,20
energy system away,20
we've got to,20
to invest in,20
the people and,20
to my mind,20
i do not,20
can live in,20
to have the,20
single payer program,20
want to go,20
this country to,20
running for president,20
given up looking,20
rest of the,20
system away from,20
our crumbling infrastructure,20
profoundly wrong when,20
in the political,20
we can create,20
today we have,20
of the most,20
is caused by,20
and what we,20
on the dollar,20
if you are,20
what we need,20
the world for,20
from fossil fuel,20
given up on,20
wealth than the,20
this country who,20
people in the,20
do not have,20
about the economy,20
already causing devastating,20
a broken criminal,20
stand up and,20
facing our country,20
belongs to all,20
united states and,20
i have been,20
and if we,20
equity for women,20
are serious about,20
about family values,20
result of the,20
a radical idea,20
will tell you,20
supreme court decision,20
american people are,20
of us and,20
as i can,20
a way that,20
other country on,20
cents on the,20
out of school,20
billion dollars in,20
the hands of,20
have the best,20
longer hours for,20
for working families,20
in the region,20
lives on the,20
is not a,20
wealthiest country in,20
of the people,18
the same time,18
our great country,18
in this campaign,18
african american kids,18
a medicare for,18
of decent paying,18
talking about is,18
many of them,18
colleges and universities,18
pay equity for,18
working families and,18
who want to,18
in america is,18
are able to,18
now when we,18
loudly and clearly,18
inequality than any,18
competitive global economy,18
is a great,18
we should not,18
the end of,18
line to defend,18
a nation we,18
for the last,18
so let me,18
for women workers,18
real unemployment is,18
the line to,18
when the top,18
why i believe,18
millions of decent,18
since the great,18
years of age,18
kids to college,18
and you know,18
family and medical,18
i will do,18
causing devastating problems,18
hundred billion dollars,18
as a right,18
we live in,18
and income inequality,18
when you have,18
go out and,18
40 hours a,18
people back to,18
want to see,18
i voted against,18
the highest prices,18
to go back,18
american democracy is,18
financial institutions in,18
that we must,18
to be a,18
candidate for president,18
are prepared to,18
the best educated,18
me be very,18
a whole lot,18
a lot more,18
job is to,18
have the right,18
health care and,18
in which we,18
on earth that,18
there is no,18
that they cannot,18
the great depression,18
working part time,18
over the last,18
public colleges and,18
efficiency and sustainable,18
goes to the,18
great middle class,18
moral responsibility to,18
way that is,18
the reality of,18
prices in the,18
you have a,18
has got to,18
what they are,18
if elected president,16
work full time,16
on the table,16
in the house,16
all very much,16
one person one,16
dollar compared to,16
believe that the,16
transforming our energy,16
the truth is,16
give you the,16
go to the,16
should not have,16
people all over,16
in the cayman,16
to the billionaire,16
for prescription drugs,16
hours for low,16
we are serious,16
public college and,16
cut social security,16
person in this,16
we are saying,16
the color of,16
end up in,16
to give you,16
have introduced legislation,16
have to do,16
understand is that,16
the world we,16
what it means,16
poverty of any,16
almost all of,16
who are working,16
a nation in,16
why i have,16
you all very,16
country there is,16
bernie bernie bernie,16
a hundred and,16
means that we,16
of family values,16
their fair share,16
to work with,16
the people in,16
together we are,16
i will fight,16
in new hampshire,16
in a few,16
the dollar compared,16
and women who,16
this country is,16
is supposed to,16
create an economy,16
wealth and income,16
we had no,16
of the reasons,16
said you know,16
should be proud,16
more income and,16
kids and our,16
in other words,16
graduated high school,16
what you have,16
is the only,16
my republican colleagues,16
the federal government,16
we have made,16
is the great,16
college and university,16
and our grandchildren,16
us and not,16
to think about,16
campaign finance system,16
fair share of,16
share of taxes,16
yes we are,16
we do that,16
high school graduates,16
person one vote,16
their kids to,16
and the reason,16
to be done,16
years we have,16
thousands of bright,16
is too big,16
percent of all,16
this is an,16
want to get,16
the cayman islands,16
highest prices in,16
to be about,16
we cannot accomplish,16
wealthy campaign contributors,16
you may not,16
to protect the,16
many of you,16
the only way,16
think about it,16
not have the,16
to transform our,16
global economy and,16
have it all,16
who have given,16
minimum wage to,16
it was a,16
that millions of,16
is that in,16
university in america,16
people living in,16
when we do,16
a moral responsibility,16
largest financial institutions,16
all of these,16
as well as,16
want to thank,16
very few people,16
wealth inequality than,16
