bigram phrase,frequency
you know,1992
we have,1634
and i,1358
going to,1238
of the,1198
in the,1038
have to,936
want to,886
to be,824
have a,802
i said,784
i don't,764
a lot,752
and they,696
lot of,666
and we,586
and you,520
look at,516
one of,512
i think,504
by the,496
you have,492
we're gonna,472
the way,466
it was,460
but i,452
to do,442
people that,440
i have,424
and then,424
do it,400
a great,396
we don't,396
i was,396
this is,374
i mean,370
so i,370
they don't,362
don't know,360
know what,352
tell you,350
to the,344
the world,342
i want,340
and the,340
i love,336
thank you,334
is a,332
with the,330
on the,322
to get,320
we're going,314
don't want,310
if you,310
the other,306
our country,298
it and,298
have the,296
they said,290
that i,288
he said,288
they have,288
of people,286
the people,276
we had,274
had a,266
all of,264
we need,262
don't have,256
right now,254
he was,254
was a,254
so we,252
know i,252
you look,250
over the,244
we are,242
in a,242
and he,242
at the,240
but they,240
we can,238
care of,236
to have,236
i'm not,236
some of,236
know the,234
and it,230
when i,226
i know,224
for the,222
to take,222
to make,222
to me,218
hundred and,218
it is,216
gonna be,216
you don't,214
all the,214
i will,212
out of,208
and we're,208
the country,208
a big,208
when you,208
but you,206
so much,206
about the,204
it's a,204
and it's,204
and i'm,202
people and,198
i just,198
talking about,198
do you,196
about it,196
they want,196
to go,196
be a,194
these people,192
are going,190
take care,190
and a,188
but we,188
can you,188
so many,186
of them,186
the most,184
it i,182
i say,182
not gonna,182
that are,180
the united,180
going on,180
the best,180
united states,178
you can,178
if i,178
they are,176
would have,176
said i,176
a hundred,176
i've been,174
new hampshire,174
that you,172
that we,172
in this,170
to say,170
is the,170
have been,170
is going,166
a little,166
it's not,164
with a,164
the hell,162
what i,162
because they,162
because i,160
i would,160
they say,160
all over,160
make it,158
talk about,158
get a,158
a very,158
do that,158
a good,156
this country,154
go to,154
of a,152
of it,152
we get,150
not going,150
of these,148
for a,148
we want,148
from the,148
believe me,146
the greatest,146
the time,146
billion dollars,144
i get,144
you think,144
great again,142
wanted to,142
it but,140
said you,140
other day,140
these are,140
so they,138
you see,138
we're not,138
is that,138
people in,138
what we,138
get the,138
the biggest,136
that was,136
you believe,136
that they,134
they were,134
of our,134
million dollars,134
the deal,134
couple of,132
these guys,132
know that,130
that's what,130
what's going,130
what happened,130
get it,130
and by,130
but the,130
they get,130
of money,130
you i,128
what happens,128
in and,128
if we,128
don't think,128
we can't,128
know it's,126
to build,126
i'm gonna,126
gonna do,126
it's going,126
they do,126
they can't,124
i do,124
went to,124
the same,124
i like,124
was the,122
gonna make,122
love you,122
i can,122
number one,122
people are,122
and that's,120
and they're,120
