word,frequency
know,3008
people,2978
don't,2172
said,2036
it's,1868
going,1656
like,1654
gonna,1586
get,1534
we're,1414
want,1386
one,1366
great,1316
right,1316
i'm,1312
say,1174
think,1074
that's,1020
go,904
country,840
good,810
really,802
lot,796
way,786
they're,780
take,770
would,746
back,724
make,722
look,712
money,706
time,676
he's,672
much,610
love,596
ok,584
even,576
thing,574
never,574
us,562
got,560
see,544
many,536
big,536
can't,530
tell,500
come,494
believe,492
two,492
guy,488
day,486
mean,462
dollars,450
years,448
deal,436
world,422
things,418
need,418
nice,412
care,406
something,400
china,398
everybody,390
didn't,384
ever,380
thank,380
well,380
i've,366
guys,364
could,362
give,360
hundred,356
president,346
actually,346
saying,344
every,342
doesn't,336
happen,328
what's,326
new,322
came,322
nobody,318
better,312
went,310
use,306
done,306
number,304
talk,298
build,294
win,294
ago,286
i'll,284
bad,282
let,280
made,278
little,276
somebody,274
wanted,270
gotta,270
trump,270
last,266
million,266
put,262
jobs,258
wall,258
run,256
mexico,256
tremendous,256
problem,254
billion,250
you're,248
trade,246
talking,242
happened,242
person,242
anything,240
five,238
best,236
there's,236
three,234
maybe,234
work,226
wouldn't,226
obama,224
coming,220
hell,214
strong,208
anybody,208
000,208
place,204
nothing,204
getting,204
amazing,204
job,202
general,202
bring,202
building,202
united,200
probably,198
call,198
remember,198
days,196
everything,194
always,192
heard,192
incredible,192
beautiful,190
thousands,190
business,190
tough,188
states,186
happens,186
military,186
room,184
first,184
let's,182
politicians,180
thousand,180
hampshire,178
won't,176
year,174
folks,174
greatest,174
four,172
used,172
called,170
television,170
they've,170
america,168
we've,168
fifty,166
vote,164
japan,164
happening,162
long,162
night,162
illegal,162
told,160
show,158
man,158
couple,158
biggest,156
companies,156
week,156
whole,156
hear,154
second,154
she's,154
percent,152
saw,152
oil,150
running,150
today,150
gave,150
different,150
deals,148
else,148
debate,146
thought,146
stupid,146
read,146
stuff,144
company,144
times,144
anymore,138
pay,138
started,138
wanna,138
