trigram phrase,frequency
a lot of,624
we have to,462
one of the,368
by the way,364
we're going to,302
going to be,288
we have a,280
you look at,230
and you know,222
you know what,210
in the world,204
i want to,204
i don't know,200
and i said,198
you know i,196
take care of,180
and we have,178
are going to,170
don't want to,166
the united states,164
you have to,160
you know the,148
they want to,144
the other day,138
not going to,138
is going to,136
and by the,124
i don't want,120
lot of people,118
we are going,118
a hundred and,116
all over the,116
we don't have,112
hundred and fifty,112
it's going to,108
some of the,108
you thank you,108
but you know,106
you know it's,102
you have a,100
all the time,100
lot of money,100
can you believe,98
look at the,98
want to be,98
i have to,98
i don't think,98
you know we,96
a couple of,94
i said i,94
in the history,92
i'll tell you,92
and they said,92
the people that,92
what's going on,90
make america great,90
people that are,90
we want to,88
america great again,88
you know they,88
have to do,88
the history of,88
you know you,86
we had a,84
and fifty billion,84
to be a,84
i love you,82
thank you thank,82
it was a,82
and we're gonna,82
have to be,82
to take care,80
they don't want,78
said you know,78
you want to,78
have to get,76
and i think,76
going to make,76
going to happen,74
to do it,74
we have the,74
so we have,74
this is a,72
do you think,72
care of our,72
that we have,70
have a lot,70
don't know what,70
all of a,70
i think i,70
going to do,70
but we have,70
build a wall,70
of a sudden,68
and it was,68
over the place,68
want to do,68
i've been saying,68
all of the,68
can't do it,68
going to have,68
i have a,68
we're gonna win,68
of the people,66
you know that,66
a little bit,66
of the great,64
i talked about,64
think of it,64
the kind of,64
it and i,64
going to take,64
fifty billion dollars,64
in this country,62
have to go,62
you know when,62
of the deal,62
look at what's,60
i said you,60
what do you,60
i said to,60
we have people,60
and then i,60
and he said,58
don't have a,58
don't do it,58
we don't want,58
a long time,58
to have a,56
have people that,56
i'm going to,56
and a half,56
he was a,56
thank you very,56
we're gonna have,56
to tell you,56
in new hampshire,54
the art of,54
art of the,54
thousands of people,54
be able to,54
you very much,54
do it and,54
and then they,54
have a president,54
i know the,54
to build a,54
and i love,54
and i was,54
make our country,52
and i say,52
in the united,52
and i don't,52
the way i,52
what the hell,52
we can do,52
so i said,52
didn't want to,52
we're gonna make,52
gonna make it,52
they don't know,50
if you look,50
know what i,50
will tell you,50
and i have,50
i think it's,50
because you know,50
i wanted to,50
in the polls,50
i will tell,48
that you know,48
want to thank,48
and a lot,48
get rid of,48
the same thing,48
know we have,46
and i'll tell,46
and then you,46
what we have,46
they can't get,46
and one of,46
in this room,46
billion dollars a,46
i went to,46
the world and,46
and you have,46
to use it,46
you believe this,44
hell out of,44
friend of mine,44
of the most,44
we don't know,44
you know why,44
two hundred and,44
we have no,44
can you imagine,44
just want to,44
have a country,44
out of the,44
up to me,44
i just want,44
and we're going,44
and all of,44
don't have the,44
i look at,42
and i'm not,42
the hell out,42
don't even know,42
so what happens,42
i would have,42
people in the,42
i mean you,42
i don't care,42
you i love,42
i love the,42
i'm telling you,42
going to build,42
but i don't,42
ahead of schedule,42
gonna take care,42
going to get,42
want to go,42
the country and,42
want to take,42
and they say,42
what happens is,42
not gonna happen,42
one of them,42
we're gonna do,42
don't know if,40
i'm not gonna,40
have to say,40
i mean i,40
now we have,40
but i said,40
would have been,40
of the things,40
a look at,40
and they have,40
and we can,40
to be so,40
of these people,40
and i just,40
we're not gonna,40
in terms of,40
to do something,38
have to use,38
thousands and thousands,38
the middle east,38
you know in,38
gonna have a,38
you believe it,38
was going to,38
think about it,38
just came out,38
but i think,38
i tell you,38
the white house,38
go out and,38
a great guy,38
of the world,38
a friend of,38
some of them,38
said to me,38
we're not going,38
to make our,38
tell you what,36
lot of the,36
he wants to,36
united states and,36
want to make,36
going on and,36
we're gonna bring,36
we're gonna be,36
ladies and gentlemen,36
they don't do,36
the world trade,36
for a long,36
so many people,36
what's going to,36
know what the,36
want to have,36
they're going to,36
