bigram phrase,frequency
in the,428
of the,302
and i,279
have to,256
to be,248
we have,229
and the,186
you know,177
and we,173
want to,169
to do,168
on the,164
to the,159
to make,159
need to,158
we need,152
i will,151
a lot,138
to get,132
i think,130
our country,123
i want,117
at the,111
have a,111
going to,109
for the,107
we can,103
lot of,97
we are,92
in a,90
united states,86
it is,86
the world,84
should be,84
i know,83
this is,83
with the,83
make sure,83
the united,82
of our,82
able to,81
i was,80
i have,78
in our,78
the same,77
is not,77
that the,77
we should,76
our economy,76
that is,76
in this,75
is a,75
about the,73
i am,72
all the,71
as a,71
that we,71
out of,70
not just,70
but i,70
to work,69
one of,68
and that,67
from the,67
if you,66
and then,66
thank you,65
will be,64
be able,64
that i,62
we will,61
more than,61
in america,61
you can,60
all of,59
and our,59
middle class,58
we do,58
to go,58
there are,58
when i,56
who are,56
have been,56
so we,55
try to,54
they are,53
that's why,53
i don't,53
over the,53
the way,52
to take,52
what we,52
to have,51
to help,51
trying to,51
so many,50
part of,50
i believe,50
is the,50
the past,49
have the,49
the first,49
long term,48
talk about,48
the best,48
president obama,48
it was,48
and to,48
back to,47
kind of,47
up to,47
it and,47
and they,47
and you,47
of a,46
health care,46
for a,46
if we,46
but we,46
you have,46
the other,45
so i,45
know what,44
by the,44
country and,44
as well,44
make it,43
to build,43
time to,43
to a,43
sure that,43
wall street,43
into the,43
here in,42
and a,42
each other,42
young people,42
how we,42
some of,42
and it,42
what i,42
right now,41
do that,41
across the,41
you to,41
people who,41
to try,41
this country,41
with a,41
to keep,40
the future,40
tell you,40
hard working,39
that they,39
jobs and,39
i'm not,39
be a,39
for our,39
as president,39
the middle,39
i can,38
are not,38
the top,38
growth and,38
they have,38
and i'm,38
we can't,38
a better,38
not only,38
know that,37
the american,37
when we,37
families and,37
the next,37
it s,37
of you,37
the most,37
as we,37
look at,36
that's what,36
of their,36
we also,36
many of,36
they can,36
we've got,36
we don't,36
we want,36
so much,36
people and,35
the people,35
you are,35
was a,35
can be,35
this campaign,35
that it,35
but the,35
we must,35
the right,34
and for,34
running for,34
can do,34
there is,34
around the,34
their own,34
talking about,34
do it,33
there's a,33
to me,33
because i,33
i would,33
that will,33
the economy,33
let me,33
it's not,33
to our,33
law enforcement,33
of us,33
the country,33
are the,33
fighting for,32
has to,32
and in,32
chance to,32
about what,32
a little,32
now i,32
a great,32
of this,32
climate change,32
be the,32
they need,32
about how,32
get ahead,32
go to,32
got to,31
because we,31
of america,31
he was,31
to talk,31
to say,31
of my,31
believe that,31
millions of,31
and so,31
at home,31
and that's,31
would be,31
that you,31
that s,31
has been,30
about it,30
why i,30
strong growth,30
of them,30
the republicans,30
and when,30
i said,30
me to,30
small business,30
it will,30
a good,30
work hard,29
for president,29
work to,29
so that,29
the time,29
president i,29
for them,29
because of,28
to pay,28
he said,28
it's a,28
will not,28
and it's,28
to this,27
of people,27
ahead and,27
states and,27
america and,27
a job,27
republican candidates,27
a big,27
do we,27
of that,27
will fight,27
way to,26
you do,26
needs to,26
i wanna,26
hard work,26
we're not,26
we're gonna,26
can to,26
and more,26
that and,26
think we,26
access to,26
as i,26
more to,26
what they,26
and what,26
a small,25
and their,25
that our,25
in my,25
too many,25
we had,25
to raise,25
a new,25
here at,25
to see,25
that was,25
hard and,25
to prevent,25
minimum wage,25
need a,24
of these,24
i also,24
believe in,24
the new,24
get the,24
them to,24
as the,24
for us,24
what it,24
get a,24
is that,24
every day,24
secretary of,24
listen to,24
the last,24
the white,24
which is,24
on wall,24
and other,24
those at,24
of state,24
should have,24
to come,24
white house,24
we know,24
care of,23
student debt,23
know the,23
do more,23
us to,23
had a,23
to create,23
not the,23
to stop,23
they don't,23
when you,23
go back,23
to you,23
women and,23
we were,23
about this,23
to start,23
those who,23
hard to,22
work with,22
work for,22
a long,22
in and,22
of americans,22
a very,22
but they,22
don't think,22
how to,22
is to,22
small businesses,22
and he,22
that are,21
fight for,21
not a,21
don't know,21
you and,21
up with,21
to stand,21
term growth,21
also have,21
much more,21
not be,21
the big,21
people are,21
to change,21
gonna do,21
thousands of,21
end of,21
the worst,21
you for,21
of course,21
child care,21
trickle down,21
raise the,21
economy and,21
i just,21
out to,21
the job,21
because they,21
when they,21
the end,20
new york,20
that if,20
of all,20
now we,20
american people,20
in their,20
we're going,20
stand up,20
who have,20
to that,20
up and,20
got a,20
for all,20
to find,20
them and,20
and women,20
after the,20
i do,20
to give,20
short term,20
right to,20
a chance,20
the minimum,20
so hard,20
went to,20
it has,20
for more,20
to college,20
the great,20
well as,19
president obama's,19
with our,19
to support,19
you i,19
do the,19
when the,19
a way,19
do to,19
together to,19
and how,19
security and,19
five years,19
my first,19
if they,19
do this,19
up the,19
i'm gonna,19
workers and,19
they were,19
but it,19
how do,19
enough to,19
do and,19
want you,19
your part,19
invest in,19
do your,19
across our,19
working americans,19
the years,19
must be,19
the long,19
to provide,19
fight to,19
clean energy,19
and and,19
the public,19
not going,19
for their,19
for me,19
i had,19
new hampshire,19
think about,19
make the,18
had to,18
in new,18
know how,18
and all,18
you should,18
it's time,18
will have,18
down the,18
to buy,18
how many,18
up our,18
what you,18
years and,18
of those,18
the president,18
ways to,18
we cannot,18
has a,18
for everybody,18
make a,18
work and,18
just as,18
she was,18
it would,18
for people,18
out and,18
children and,18
you all,18
the work,18
in that,18
don't have,18
the region,18
me about,18
take care,18
affordable care,17
every single,17
or the,17
i went,17
americans are,17
the financial,17
to those,17
just for,17
is going,17
pay for,17
what kind,17
so they,17
on this,17
people in,17
opportunity to,17
a year,17
now the,17
you will,17
that's not,17
not enough,17
do what,17
for every,17
and yes,17
the the,17
like to,17
people that,17
us and,17
used to,17
out there,17
and do,17
but that,17
can't afford,17
or even,17
the republican,17
for my,17
people have,17
to protect,17
policies that,17
and if,16
may be,16
wanted to,16
do everything,16
be here,16
percent of,16
and let's,16
could have,16
for those,16
at all,16
change and,16
middle east,16
to live,16
do have,16
there was,16
think it's,16
at a,16
to ensure,16
to really,16
years ago,16
this deal,16
even though,16
no matter,16
know we,16
i've been,16
president and,16
take a,16
of american,16
the affordable,16
in fact,16
that when,16
told me,16
americans have,16
like the,16
it because,16
said that,16
our allies,16
will do,16
many people,16
in congress,16
know i,16
my husband,16
forward to,16
for you,16
likely to,15
the opportunity,15
not have,15
how much,15
here today,15
what are,15
again and,15
are going,15
the and,15
way that,15
the government,15
the gun,15
been a,15
to bring,15
with us,15
you see,15
you go,15
then we,15
men and,15
the law,15
focus on,15
for women,15
are still,15
a nuclear,15
just the,15
an agenda,15
and others,15
know and,15
who want,15
plan to,15
that this,15
new rules,15
work in,15
the children's,15
help us,15
we all,15
before the,15
build a,15
with you,15
an america,15
their families,15
will work,15
can get,15
of your,15
of what,15
a family,15
street and,15
care act,15
the course,15
their lives,15
doing the,15
to tell,14
president who,14
they should,14
our children,14
would have,14
on a,14
we still,14
on our,14
under the,14
the fight,14
when it,14
and we're,14
where we,14
to my,14
i m,14
with that,14
just like,14
every child,14
class life,14
to invest,14
called for,14
businesses and,14
i hope,14
it takes,14
why i'm,14
but it's,14
can t,14
today i,14
fact that,14
do a,14
talk to,14
and there,14
us safe,14
is it,14
our values,14
to join,14
ensure that,14
efforts to,14
incomes for,14
take on,14
it should,14
and not,14
family and,14
more americans,14
the fact,14
time and,14
afford to,14
what is,14
and this,14
what the,14
laid out,14
and make,14
of color,14
is in,14
the private,14
i mean,14
and its,14
worked with,14
a young,14
million americans,14
prescription drugs,14
but he,14
and get,14
and support,14
well i,14
me that,14
the promise,14
us that,14
it in,14
private sector,14
investing in,13
they had,13
commitment to,13
that would,13
and stay,13
that's how,13
understand that,13
let s,13
the small,13
more jobs,13
equal pay,13
i'm going,13
build on,13
pay and,13
and on,13
to understand,13
president to,13
up for,13
everything we,13
should not,13
our own,13
under president,13
for hard,13
there's no,13
will get,13
a deal,13
know when,13
get back,13
wages and,13
make america,13
to know,13
for what,13
to their,13
they want,13
my campaign,13
will help,13
together and,13
you work,13
think the,13
who will,13
even more,13
country to,13
and help,13
we get,13
what he,13
we make,13
too often,13
which i,13
a comprehensive,13
i love,13
age of,13
is because,13
said i,13
working families,13
had the,13
have made,13
in your,13
they told,13
iraq and,13
we did,13
leave and,13
to hear,13
are working,13
raising incomes,13
very much,13
be prepared,13
that he,13
from new,13
home and,13
that a,12
i remember,12
but when,12
for example,12
to save,12
basic bargain,12
have this,12
what we're,12
to encourage,12
still too,12
the kind,12
i'm running,12
are all,12
our families,12
that to,12
hear from,12
do you,12
but if,12
began to,12
and now,12
a democrat,12
do with,12
was the,12
i did,12
fair growth,12
who we,12
come from,12
deal with,12
like this,12
growth that,12
us in,12
the border,12
all these,12
who can,12
working with,12
on that,12
grateful to,12
that people,12
from our,12
people of,12
debt and,12
stay ahead,12
exactly what,12
the problems,12
because it,12
and long,12
raise incomes,12
think that's,12
and those,12
state and,12
willing to,12
it means,12
or what,12
back against,12
called the,12
a former,12
end up,12
to call,12
responsible for,12
the chance,12
gonna be,12
paid leave,12
to improve,12
the human,12
don't need,12
of his,12
but this,12
may have,12
and people,12
figure out,12
part you,12
women who,12
think that,12
work together,12
fight back,12
i worked,12
easy but,12
job and,12
we've made,12
work that,12
it easier,12
the threat,12
rather than,12
muslim american,12
bin laden,12
the i,12
our national,12
the deal,12
thinking about,12
working for,12
and my,12
