word,frequency
people,427
know,386
get,329
work,304
make,293
president,277
need,271
us,263
country,247
like,245
want,244
america,234
i'm,232
it's,221
new,220
that's,220
americans,212
think,205
many,203
one,201
don't,182
back,178
also,178
hard,177
years,176
every,173
time,172
right,171
economy,167
going,165
families,165
would,163
help,156
women,152
said,151
well,151
jobs,150
way,148
really,147
first,147
lot,144
go,144
american,143
care,137
growth,132
working,132
we're,130
take,129
even,124
much,123
say,119
sure,118
states,115
world,114
today,114
better,114
job,111
long,109
believe,108
support,106
pay,105
got,105
see,101
good,100
united,99
part,99
let,96
young,94
term,94
big,93
still,92
great,91
change,91
we've,91
i've,90
gonna,89
can't,89
day,89
future,89
keep,88
campaign,87
fight,87
family,86
health,84
could,84
college,84
together,84
look,84
talk,84
workers,83
republicans,83
able,81
thank,81
there's,81
state,80
middle,80
come,80
isis,78
across,77
life,76
tell,76
actually,76
law,75
they're,74
ahead,74
small,73
enough,73
iran,73
republican,72
made,72
best,71
strong,71
financial,71
create,70
build,70
must,70
start,69
incomes,68
home,68
everything,68
business,68
money,67
deal,67
important,67
two,67
million,66
community,65
businesses,65
try,65
class,65
child,64
gun,64
raise,64
obama,64
children,64
companies,63
something,62
you're,62
year,61
around,61
called,61
without,61
government,61
share,61
last,61
little,60
making,60
away,60
tax,59
things,59
three,59
always,59
past,59
high,58
street,57
running,57
done,57
talking,57
security,57
give,57
top,57
understand,56
end,56
parents,55
stand,55
everybody,55
never,55
kids,54
kind,54
let's,54
trying,53
another,53
may,53
yes,52
ever,52
candidates,52
issues,52
everyone,52
debt,52
rights,52
challenges,50
leave,50
especially,50
economic,50
love,49
policies,49
nuclear,49
congress,49
opportunity,49
real,49
national,49
worked,48
dollars,48
stop,48
energy,48
next,48
including,48
paid,47
wall,47
set,47
communities,47
wages,47
told,46
public,46
heard,46
find,46
old,46
rules,46
affordable,45
didn't,45
school,45
went,44
hear,44
fighting,44
chance,44
lives,44
particularly,43
anything,43
problem,43
act,42
course,42
issue,42
saying,42
millions,41
five,41
afford,41
coming,41
countries,41
fair,41
bad,41
women's,41
second,41
third,40
problems,40
put,40
needs,40
safe,40
potential,40
serious,40
others,39
secretary,39
possible,39
less,39
democrats,39
terrorist,39
days,39
reform,38
strategy,38
power,38
student,38
forward,38
already,38
raising,38
getting,38
means,38
came,38
wanna,37
education,37
prevent,37
men,37
program,36
percent,36
leaders,36
profits,36
research,36
nearly,36
terrorists,36
fact,36
trust,35
place,35
attacks,35
ways,35
enforcement,35
house,35
gets,35
looking,35
election,35
climate,35
left,34
paying,34
human,34
week,34
different,34
join,34
feel,34
successful,33
thing,33
white,33
what's,33
infrastructure,33
far,33
granddaughter,33
crisis,33
partners,33
efforts,33
makes,32
asked,32
often,32
governor,32
live,32
win,32
matter,32
global,32
leadership,32
else,32
washington,32
remember,32
party,32
system,32
wage,32
political,31
investments,31
single,31
protect,31
industry,31
risk,31
ensure,31
cannot,31
local,31
cut,31
short,31
banks,30
progress,30
major,30
israel,30
provide,30
syria,30
trade,30
wanted,30
ground,30
sharing,30
intelligence,30
plan,30
proud,30
clean,30
allies,29
key,29
question,29
responsible,29
friends,29
whether,29
clinton,29
turn,29
standing,29
comprehensive,29
thousands,29
access,29
entire,29
face,29
doesn't,29
quality,28
teachers,28
common,28
finally,28
iran's,28
debate,28
show,28
attack,28
nothing,28
deserve,28
though,28
listen,28
opportunities,27
close,27
takes,27
police,27
senator,27
10,27
run,27
justice,27
taking,27
stay,27
war,27
interest,27
maybe,27
yet,27
bring,27
early,27
force,27
costs,27
i'll,27
bill,26
talked,26
grow,26
agenda,26
hands,26
credit,26
they've,26
institutions,26
higher,26
minimum,26
evidence,26
use,26
taxes,26
history,26
hold,26
equal,26
given,26
met,26
clear,26
started,26
won't,26
since,26
success,26
either,26
guns,25
open,25
office,25
muslim,25
attention,25
toward,25
hope,25
drug,25
happen,25
florida,25
terrorism,25
record,25
corporations,25
000,25
person,25
violence,24
took,24
focus,24
wrong,24
vote,24
challenge,24
respect,24
move,24
military,24
weapons,24
certainly,24
began,24
call,24
used,24
idea,24
values,24
man,24
ones,24
behind,24
lead,24
nation,24
times,24
training,23
defense,23
mean,23
citizens,23
bargain,23
point,23
happens,23
re,23
months,23
broader,23
longer,23
increase,23
easy,23
number,23
agreement,23
threat,23
iraq,23
concerns,23
saw,23
service,23
hand,23
worst,22
whatever,22
defeat,22
ask,22
administration,22
sanctions,22
rates,22
worker,22
people's,22
schools,22
whose,22
easier,22
rise,22
necessary,22
york,22
thousand,22
seen,22
promise,22
rate,22
students,22
grateful,22
stock,22
markets,22
building,22
sometimes,22
anyone,22
spent,21
former,21
trickle,21
four,21
information,21
improve,21
invest,21
prepared,21
age,21
full,21
obama's,21
plans,21
thought,21
poverty,21
sick,21
he's,21
here's,21
wealthy,21
radicalization,21
ve,21
example,21
half,20
side,20
fighters,20
facing,20
region,20
changes,20
meet,20
earnings,20
hundred,20
fund,20
somebody,20
price,20
democratic,20
sense,20
assault,20
commitment,20
process,20
politics,20
pretty,20
online,20
buy,20
lost,20
likely,20
coalition,20
board,20
beyond,19
save,19
later,19
private,19
anybody,19
giving,19
reason,19
ago,19
muslims,19
rising,19
approach,19
forces,19
civil,19
hampshire,19
goes,19
absolutely,19
works,19
budget,19
employees,19
iranian,19
stories,19
cities,19
programs,19
steps,19
threats,19
dad,19
yesterday,19
heart,19
refinance,19
prescription,19
play,19
capital,19
role,19
starting,19
helping,18
ideas,18
taken,18
grandmother,18
thinking,18
believed,18
dangerous,18
behavior,18
resources,18
department,18
you've,18
father,18
university,18
eight,18
focused,18
drive,18
fairness,18
husband,18
sector,18
step,18
african,18
action,18
offer,18
places,18
drugs,18
stronger,18
lower,18
generation,18
mom,18
income,18
shouldn't,18
fear,18
learning,18
special,18
nurses,17
worse,17
agree,17
comes,17
happening,17
mother,17
supporting,17
harder,17
federal,17
depression,17
gotta,17
forget,17
race,17
built,17
international,17
city,17
level,17
questions,17
expect,17
insurance,17
front,17
fellow,17
night,17
isn't,17
everyday,17
basic,17
exactly,17
greater,17
woman,17
barriers,17
read,17
answer,17
recently,17
month,17
entrepreneurs,16
democrat,16
children's,16
secure,16
instead,16
brain,16
m,16
mental,16
border,16
control,16
folks,16
none,16
saved,16
immigrants,16
teacher,16
majority,16
immigration,16
moving,16
democracy,16
become,16
solutions,16
speak,16
includes,16
social,16
game,16
hillary,16
east,16
profit,16
smart,16
difference,16
six,16
mission,16
areas,16
homes,16
criminal,16
jihadists,16
defend,16
counterterrorism,16
book,16
amazing,16
neighbors,16
weeks,16
risks,16
stuff,15
line,15
allow,15
accountable,15
i'd,15
bank,15
break,15
changed,15
retirement,15
black,15
begin,15
hardworking,15
equality,15
union,15
non,15
movement,15
loopholes,15
goals,15
growing,15
she's,15
benefit,15
recession,15
investing,15
advanced,15
priority,15
listening,15
failed,15
knew,15
case,15
committed,15
says,15
respond,15
color,15
push,15
refugees,15
regulators,15
background,15
might,15
loans,15
along,15
free,15
learned,14
laid,14
center,14
god,14
bush,14
rather,14
quite,14
freedom,14
path,14
foreign,14
reading,14
choices,14
recognize,14
daughter,14
lines,14
groups,14
corporate,14
order,14
please,14
trillion,14
embrace,14
reach,14
campus,14
word,14
dreams,14
talent,14
sound,14
factory,14
creating,14
individuals,14
seeing,14
investment,14
peace,14
driver,14
haven't,14
tools,14
involved,14
wasn't,14
group,14
tough,14
relief,14
seems,14
girl,14
balance,14
losing,14
buying,14
overseas,14
solar,13
dream,13
professionals,13
train,13
biggest,13
finance,13
results,13
services,13
propose,13
grandparents,13
achieve,13
senate,13
words,13
deserves,13
burdens,13
figure,13
faster,13
funds,13
leader,13
safety,13
cost,13
chicago,13
prices,13
pursue,13
recent,13
main,13
elected,13
waiting,13
shows,13
hezbollah,13
air,13
turned,13
iowa,13
9,13
providing,13
wants,13
reforms,13
created,13
twenty,13
officers,13
lose,13
hours,13
require,13
happened,13
capacity,13
ready,13
gone,13
effective,13
colleagues,13
economics,13
gas,13
someone,13
partner,13
universal,13
reward,13
talks,12
thanks,12
door,12
ok,12
cases,12
ll,12
prison,12
encourage,12
ten,12
fall,12
decades,12
generations,12
fast,12
al,12
company,12
indeed,12
trading,12
networks,12
25,12
24,12
23,12
trafficking,12
oil,12
oversight,12
struggle,12
battle,12
lawyers,12
ended,12
several,12
decisions,12
who's,12
benefits,12
5,12
walk,12
policy,12
laden,12
radical,12
net,12
pays,12
truth,12
story,12
market,12
kindergarten,12
outside,12
council,12
technology,12
strengthen,12
bin,12
prosperity,12
discrimination,12
kinda,12
workforce,12
greatest,12
importance,12
poor,12
willing,12
exciting,12
planned,12
enforce,12
grand,12
needed,12
ceos,12
choice,11
passed,11
study,11
red,11
crucial,11
paychecks,11
network,11
renewable,11
soon,11
became,11
vice,11
helped,11
welcome,11
closing,11
commit,11
alongside,11
strongest,11
everywhere,11
30,11
weren't,11
room,11
11,11
europe,11
arab,11
america's,11
playing,11
syrian,11
member,11
reproductive,11
firms,11
sexual,11
served,11
avoid,11
head,11
counter,11
1,11
streets,11
legislation,11
faith,11
limited,11
hundreds,11
serve,11
shadow,11
personal,11
society,11
gave,11
rule,11
importantly,11
pocket,11
target,11
deny,11
table,11
grandchildren,11
members,11
continue,11
least,11
candidate,11
large,11
george,11
courage,11
quarterly,11
whole,11
somali,11
add,11
billion,11
brought,11
recruitment,11
struggling,11
sell,11
responsibility,11
delighted,11
diplomacy,11
weapon,10
stake,10
remain,10
mass,10
managers,10
seriously,10
media,10
concerned,10
rest,10
killed,10
2,10
stopped,10
card,10
count,10
within,10
arms,10
owners,10
birth,10
arkansas,10
couldn't,10
virginia,10
crash,10
jihadist,10
extra,10
secret,10
seemed,10
team,10
crimes,10
news,10
parenthood,10
proposed,10
deeply,10
improving,10
name,10
keeping,10
death,10
particular,10
strike,10
fourth,10
numbers,10
truly,10
goal,10
treat,10
leading,10
2008,10
larger,10
expanding,10
elect,10
quick,10
hair,10
airports,10
fairly,10
demand,10
manufacturing,10
reality,10
basically,10
breaking,10
funding,10
consequences,10
material,10
bernardino,10
investors,10
frank,10
graduated,10
succeed,10
tried,10
expand,10
honor,10
address,10
terry,10
parts,10
immediate,10
san,10
prevention,10
coverage,10
specific,10
powerful,10
matters,10
effort,10
bringing,10
sidelines,10
empower,10
held,10
exploit,10
led,10
danger,10
homeland,9
shortchange,9
test,9
supreme,9
we'll,9
present,9
spoken,9
view,9
country's,9
result,9
surplus,9
thirty,9
concern,9
hit,9
loophole,9
establish,9
friend,9
rose,9
practically,9
car,9
missile,9
hide,9
inherited,9
probably,9
current,9
john,9
choose,9
diversity,9
unfortunately,9
among,9
extremist,9
living,9
directly,9
learn,9
conversation,9
16,9
15,9
welcoming,9
behalf,9
dodd,9
boost,9
trends,9
citizen,9
conspiring,9
progressive,9
perfect,9
plots,9
anywhere,9
productivity,9
afraid,9
represent,9
studies,9
credible,9
defenses,9
sending,9
write,9
message,9
firsthand,9
worth,9
labor,9
frequency,9
proposing,9
vision,9
tuition,9
eyes,9
aid,9
true,9
propaganda,9
throughout,9
simple,9
911,9
israeli,9
brink,9
innovation,9
auto,9
selling,9
sellers,9
literally,9
creates,9
lgbt,9
opposition,9
paris,9
kept,9
exchange,9
gives,9
vigilant,9
tonight,9
hedge,9
terms,9
presidential,9
nineties,9
channel,9
banking,9
trip,9
taught,9
bridges,9
nra,9
gains,9
court,9
shareholders,9
aren't,9
provided,9
lay,9
roads,9
known,9
knows,9
keeps,9
wait,9
proven,9
raised,9
earned,9
fbi,9
liberties,9
experts,9
medical,8
800,8
competitive,8
girls,8
diplomatic,8
letting,8
obviously,8
carried,8
hour,8
empowering,8
bottom,8
delivering,8
fully,8
ultimately,8
huge,8
water,8
actions,8
supported,8
checks,8
low,8
agreements,8
base,8
