trigram phrase,frequency
we have to,128
we need to,94
a lot of,92
i want to,80
the united states,78
be able to,64
to make sure,54
one of the,41
to try to,33
make sure that,32
our country and,32
around the world,30
at the top,28
and i think,28
we want to,27
you know what,27
and i will,26
and i want,26
president i will,25
have to be,25
secretary of state,24
in our country,24
on wall street,24
some of the,23
we can do,23
and i am,23
get ahead and,23
to talk about,22
and we have,22
those at the,22
the white house,22
i think we,22
we have a,21
going to be,21
running for president,21
i don't think,21
as president i,21
long term growth,21
in this country,20
should be able,20
in the past,20
to be a,20
also have to,20
we also have,19
the end of,19
do your part,19
the middle class,19
work hard and,19
to be able,19
we should be,19
to make it,19
hard working americans,19
the minimum wage,19
want you to,19
the american people,19
as well as,19
we're going to,19
we've got to,18
in the middle,18
across our country,18
that's why i,18
back to the,17
to have a,17
need to be,17
to get ahead,17
want to be,17
and we will,17
take care of,17
i want you,17
in the united,17
i will fight,17
united states and,17
here at home,17
a chance to,17
and i know,16
the affordable care,16
have to do,16
when i was,16
in our economy,16
in america and,16
thank you for,16
able to get,16
i have a,15
on the other,15
it's time to,15
affordable care act,15
and you know,15
over the past,15
go back to,15
the middle east,15
in the first,15
i believe that,15
have to get,15
what kind of,15
and we should,15
they need to,15
and we need,15
our economy and,14
thank you all,14
who want to,14
in the future,14
have to go,14
to do that,14
across the country,14
middle class life,14
the private sector,14
we can to,14
so we have,14
in the white,14
to do more,14
has to be,14
out of the,13
to stand up,13
ahead and stay,13
a small business,13
you know the,13
i have to,13
this is a,13
in new hampshire,13
for hard working,13
you work hard,13
have to make,13
i think the,13
i'm going to,13
that we have,13
all of you,13
work to do,13
is not the,13
needs to be,13
about how we,13
the opportunity to,12
to be the,12
and stay ahead,12
to invest in,12
not just for,12
your part you,12
i know that,12
i went to,12
we do it,12
we do have,12
to get a,12
need to do,12
to be here,12
to do a,12
this is not,12
and long term,12
from new york,12
the children's defense,11
the promise of,11
in the world,11
people who are,11
to make the,11
if you work,11
in the years,11
care of their,11
growth and long,11
how do we,11
do more to,11
not going to,11
for the future,11
is going to,11
you know when,11
the fact that,11
they have a,11
they have to,11
wall street and,11
you have to,11
to take care,11
hard and do,11
to go to,11
raise the minimum,11
for our country,11
that will be,11
now i know,11
part of the,11
you should be,11
they want to,11
the kind of,11
and then we,11
to build a,11
think we should,11
we are not,11
so we need,11
keep us safe,11
we need a,11
in the region,11
the right to,11
there's a lot,11
in this campaign,10
about the future,10
new rules on,10
it and i,10
climate change and,10
and that is,10
to do the,10
everything we can,10
the republican candidates,10
focus on the,10
the big banks,10
to me about,10
fight back against,10
to do to,10
and we can,10
children's defense fund,10
know how to,10
but i also,10
going to do,10
live up to,10
it would be,10
muslim american communities,10
of the united,10
all of our,10
they should be,10
you know i,10
the chance to,10
raise incomes for,10
going to take,10
president obama and,10
all of these,10
the other side,10
to do and,10
and i was,10
there is a,9
on the sidelines,9
paid leave and,9
that's why i'm,9
believe that the,9
states and our,9
delighted to be,9
so we do,9
as your president,9
do a better,9
i don't know,9
are going to,9
in the long,9
across the board,9
the world to,9
who we are,9
a middle class,9
our children and,9
do have to,9
the age of,9
it is not,9
fair growth and,9
a factory worker,9
that if we,9
on the job,9
not yet running,9
our economy to,9
a nuclear weapon,9
to raise the,9
once and for,9
out of pocket,9
in order to,9
i'm running for,9
to take on,9
over the course,9
not just the,9
to build an,9
at home and,9
in the coming,9
but we do,9
to go back,9
and for all,9
all of us,9
and we are,9
will fight for,9
not running for,9
trickle down economics,9
it needs to,9
can to make,9
i worked with,9
to do with,9
want to do,9
the small business,9
the granddaughter of,9
tax relief and,9
a part of,9
i was in,9
i'm not running,9
for a long,9
a lot about,9
i think that's,9
that i think,9
doing the same,9
afford a middle,9
making it easier,9
for our economy,9
going back to,9
god given potential,9
it comes to,9
an agenda for,9
you can be,9
at the end,9
the financial industry,9
need to take,9
the long run,9
senator from new,9
in the senate,9
we can't afford,9
want to thank,9
i believe we,9
we can t,9
of the american,9
so this is,8
will trickle down,8
and not just,8
this is the,8
able to do,8
first five years,8
get serious about,8
the president who,8
when it comes,8
the way of,8
that is the,8
know there are,8
for strong growth,8
today i want,8
the short term,8
back against these,8
the great depression,8
and we know,8
our country to,8
i think it's,8
those of us,8
student debt and,8
i believe in,8
because i think,8
of the other,8
the first place,8
and our allies,8
osama bin laden,8
relief and simplification,8
republicans in congress,8
comprehensive immigration reform,8
incomes rising again,8
workers and good,8
high frequency traders,8
so many of,8
their fair share,8
going to college,8
and that's why,8
the way we,8
proud to be,8
it will trickle,8
not going back,8
of the most,8
incomes for hard,8
to get all,8
is one of,8
build an america,8
will fight back,8
by the end,8
growth and fairness,8
people of color,8
the truth is,8
long run and,8
to help us,8
to rein in,8
and there are,8
in a way,8
hard working families,8
country and our,8
to get the,8
and i said,8
we all know,8
do that and,8
to figure out,8
to tell you,8
with each other,8
to get serious,8
the same thing,8
here in the,8
stand up to,8
many business leaders,8
that you know,8
for us to,8
it s time,8
have a chance,8
a way to,8
leave and we,8
should not be,8
and i believe,8
that the united,8
will be my,8
have to work,8
for more than,8
many of you,8
i can to,8
a way that,8
also want to,8
a balanced budget,8
kind of country,8
the auto industry,8
to keep us,8
and around the,8
we don't have,8
if we don't,8
the next president,8
growth and we,8
the people that,8
over the years,8
800 000 jobs,8
for women and,8
to make our,8
want to talk,7
and so i,7
if you do,7
i have this,7
that s why,7
it is a,7
i talk about,7
on the ground,7
you do your,7
that a lot,7
all very much,7
health care costs,7
many young people,7
and in some,7
her god given,7
got to do,7
you look at,7
a former president,7
men and women,7
the time to,7
but i think,7
and in the,7
be the small,7
and that will,7
be prepared to,7
we are all,7
of the way,7
can't afford to,7
to talk to,7
for them and,7
part you should,7
that was a,7
that you can,7
me to do,7
the work that,7
are the best,7
million new jobs,7
that we can,7
everything i can,7
look forward to,7
cut taxes for,7
we do this,7
you go to,7
you know that,7
the super wealthy,7
do it because,7
will fight to,7
have to stop,7
you all very,7
it takes to,7
a democrat in,7
i will do,7
have access to,7
need to keep,7
there was a,7
to protect our,7
more than three,7
to really help,7
make sure our,7
is to make,7
talk about this,7
that s what,7
but we're not,7
is not enough,7
law enforcement and,7
in some cases,7
as hard as,7
s time to,7
out of poverty,7
in our history,7
part of a,7
democrat in the,7
just as we,7
they can be,7
on long term,7
to work in,7
the future and,7
many of them,7
they told me,7
can do this,7
we're gonna have,7
when you get,7
do that we,7
i think it,7
the fight against,7
said you know,7
we also need,7
and our country,7
i know how,7
and their families,7
the hard work,7
the department of,7
the best possible,7
clean energy superpower,7
an america where,7
what we need,7
and to make,7
have to say,7
president obama's leadership,7
for them to,7
the democratic party,7
in the streets,7
being able to,7
please join me,7
a long time,7
do the same,7
that they are,7
get back to,7
can afford a,7
about climate change,7
running for my,7
back from the,7
my first job,7
i'm not a,7
our families and,7
what i want,7
tell that to,7
it will require,7
do their part,7
are on the,7
and a half,7
if you look,7
talked to me,7
and yes we,7
a family member,7
and all of,7
president of the,7
to recognize that,7
long term investments,7
to college without,7
middle class and,7
of a former,7
work in the,7
can do and,7
that to the,7
the obama administration,7
have to build,7
all americans have,7
there is no,7
look at the,7
to be successful,7
to find common,7
will tell you,7
try to get,7
is not just,7
it's not just,7
believe in and,7
it has to,7
the hands of,7
not a scientist,7
small business president,7
because of the,7
again and again,7
we're not going,7
iraq and syria,7
the most important,7
one of my,7
good paying jobs,7
i will propose,7
to work and,7
went to work,7
to make america,7
and do your,7
he wanted to,7
economy work for,7
is not a,7
on behalf of,7
and that's what,7
and i have,7
the choices we,7
more likely to,6
to keep up,6
in america today,6
millions of americans,6
earned sick days,6
as a senator,6
to do something,6
in the financial,6
to pay for,6
do as president,6
do in the,6
i know there,6
many of these,6
he was a,6
but it is,6
fall into the,6
and money managers,6
and make sure,6
then we have,6
to get back,6
what i will,6
all the people,6
tell you what,6
say a word,6
a better way,6
i also believe,6
yes and we,6
have a different,6
to this country,6
of climate change,6
the past we,6
and a surplus,6
to do what,6
i will work,6
what will happen,6
are still too,6
go to college,6
what we do,6
do what we,6
can and should,6
and i hope,6
working as a,6
lot of the,6
and our future,6
well as the,6
you know we,6
you have a,6
i think that,6
in the last,6
it easier for,6
keep up with,6
the twin cities,6
millions of hardworking,6
it's not enough,6
i was a,6
what we're doing,6
for raising incomes,6
they can do,6
and it s,6
that is not,6
not a luxury,6
the nineteen nineties,6
now we have,6
much incomes rise,6
as well so,6
an infrastructure bank,6
to fight for,6
what we are,6
anything to come,6
have a democrat,6
end of the,6
quite so hard,6
families and we,6
a basic bargain,6
and they should,6
and i'm not,6
to be prepared,6
be a better,6
more than half,6
our economy work,6
i will set,6
of our country,6
they're going to,6
think about the,6
expect anything to,6
and fairness economy,6
thinking about the,6
this country and,6
find a job,6
the past several,6
big to fail,6
raising three kids,6
i'm talking about,6
and by the,6
women of color,6
since the great,6
president and i,6
to college and,6
of this campaign,6
family member gets,6
too big to,6
will propose ways,6
budget and a,6
