bigram phrase,frequency
of the,382
in the,336
to the,231
on the,181
and the,175
you know,131
this country,122
we will,117
if you,117
tell you,106
it is,104
millions of,101
to be,100
and i,98
want to,97
the american,93
and we,92
that the,90
for the,89
planned parenthood,89
the united,88
is a,87
united states,86
the world,86
republican leadership,77
with the,76
is the,76
at the,75
that is,75
president obama,75
i will,74
and women,74
the first,73
by the,72
men and,72
the people,70
let me,70
we are,70
in a,70
one of,69
going to,68
the democrats,67
we have,65
american people,64
from the,64
the obama,63
we need,61
up and,61
over and,57
is not,57
to do,57
and over,57
the senate,55
in this,54
of us,54
that we,54
have a,53
radical islamic,53
the president,53
all of,52
of this,52
need to,52
i was,52
the second,51
of our,50
and then,50
of america,49
have been,49
of a,48
the way,47
the same,47
i want,47
on a,46
federal government,46
thank you,46
department of,45
he was,45
as a,45
in washington,45
it was,45
obama administration,44
up to,43
barack obama,43
will be,43
with a,43
out of,42
was a,42
we should,42
this is,42
and yet,42
of americans,42
the republican,42
who are,41
i think,41
if we,41
there is,41
and he,41
the men,40
and they,39
the next,39
and a,39
i would,39
to stand,39
be a,39
there are,39
that i,39
you and,38
to say,38
supreme court,38
for a,38
a president,38
instead of,38
and it,37
the federal,37
over again,37
we had,36
is that,36
right now,36
of justice,36
the constitution,36
has been,35
the house,35
had a,35
to a,35
all the,35
that was,35
willing to,35
do you,34
to keep,34
would be,34
to defend,34
people are,34
go to,34
you want,33
would have,33
the other,33
religious liberty,33
and every,33
national security,32
first day,32
across this,32
should be,32
in office,31
on that,31
second amendment,31
right to,31
back to,30
you don't,30
the ayatollah,30
to stop,30
the media,30
to our,30
the country,30
intend to,30
and to,30
all across,29
the government,29
me tell,29
and let,29
across the,29
years ago,29
this deal,29
the most,29
have to,29
will not,29
the promise,29
about the,28
i intend,28
stand up,28
nuclear deal,28
we can,28
my dad,28
and that,28
we do,28
over the,28
they are,27
harry reid,27
do it,27
when the,27
so many,27
promise of,27
day in,27
the irs,27
nuclear weapons,27
ronald reagan,26
