trigram phrase,frequency
the united states,79
men and women,71
the american people,62
over and over,57
i want to,45
the obama administration,43
we need to,41
the men and,40
millions of americans,39
and over again,37
department of justice,33
of the united,29
the second amendment,29
and let me,27
the promise of,27
first day in,27
and we will,27
day in office,27
radical islamic terrorism,26
in the world,26
by the way,26
me tell you,26
across this country,26
i intend to,26
promise of america,25
the department of,25
let me tell,25
every one of,24
the first day,23
on the first,23
the days that,23
intend to do,23
radical islamic terrorists,23
the federal government,23
to be a,23
iranian nuclear deal,22
one of the,22
days that follow,22
states of america,21
united states of,21
in the days,21
thank you for,20
a president who,20
to do on,20
i'll tell you,20
and bear arms,19
keep and bear,19
let me say,19
we had a,19
of this country,19
thing i intend,19
to keep and,19
in the senate,19
we have a,18
right to keep,18
you want to,18
there is a,17
the ayatollah khamenei,17
and women who,17
and over and,17
the world and,17
all over the,17
federal government that,17
and women of,17
the face of,16
are waking up,16
the nation of,16
to defend the,16
the supreme court,16
a federal government,16
one of us,16
do on the,16
the washington cartel,16
american people are,16
little sisters of,16
each and every,16
all across this,15
it is a,15
going to be,15
time for choosing,15
the little sisters,15
planned parenthood and,15
leadership in the,15
the american dream,15
sisters of the,15
that is the,14
and republican leadership,14
we will pass,14
commander in chief,14
of unborn children,14
bill of rights,14
a lot of,14
a simple flat,14
the islamic state,14
of the poor,14
a couple of,14
simple flat tax,13
and i will,13
of radical islamic,13
in office is,13
of the house,13
this country and,13
how do we,13
people are waking,13
is going to,13
the people of,13
catastrophic iranian nuclear,13
millions of people,13
side of the,13
the history of,13
is it that,13
if you vote,13
the people who,13
with the democrats,13
the right to,13
this catastrophic iranian,13
don't listen to,12
to try to,12
the state of,12
and the democrats,12
the bill of,12
will go to,12
in the history,12
i was proud,12
billions of dollars,12
kids and grandkids,12
body parts of,12
to the men,12
the white house,12
a candidate who,12
that the obama,12
all of our,12
it is not,12
stand up and,12
there is no,12
instead of a,12
stood up and,12
in both houses,12
to the united,12
to the ayatollah,12
back to the,11
that follow i,11
grow and grow,11
amendment right to,11
instead of the,11
our constitutional rights,11
when it comes,11
to stand up,11
more and more,11
in this country,11
we the people,11
the end of,11
when i was,11
our kids and,11
it comes to,11
would have been,11
that follow we,11
the world a,11
follow i will,11
nation of israel,11
on that stage,11
of millions of,11
a nuclear iran,11
the borders and,11
how do you,11
you vote for,11
president of the,11
to the american,11
will tell you,11
will have a,11
over the country,11
president obama and,11
we need a,11
the next president,11
the president of,11
was proud to,11
and i would,11
the body parts,11
we will not,10
finally finally finally,10
on the face,10
we will repeal,10
you look at,10
house of representatives,10
state of iowa,10
that we should,10
each of you,10
the very first,10
from leadership in,10
take on the,10
the cold war,10
of young people,10
speaker of the,10
can tell you,10
if you want,10
and i'll tell,10
secure the borders,10
millions of young,10
the threat of,10
working men and,10
follow we will,10
his or her,10
face of the,10
the single greatest,10
of the world,10
the middle east,10
a chunk of,10
the reagan revolution,10
to planned parenthood,10
the first amendment,10
to congress and,10
up to washington,10
i will tell,10
i can tell,10
you know what,10
parts of unborn,10
over 100 billion,10
on that debate,10
hillary clinton and,10
the people that,10
all of the,10
to tell you,10
couple of months,10
vote for me,10
that i will,10
and it is,10
over again and,9
in the house,9
people who are,9
and at the,9
acquiring nuclear weapons,9
department of education,9
need a president,9
want to ask,9
i will instruct,9
barack obama and,9
the way if,9
do anything to,9
and you know,9
and every day,9
there was a,9
on a postcard,9
law abiding citizens,9
women who elected,9
this country is,9
on a hill,9
nuclear weapons and,9
national security threat,9
up and said,9
the exact same,9
health care reform,9
taxes on a,9
all of us,9
went to the,9
who will stand,9
and grow and,9
harry reid and,9
shining city on,9
young people coming,9
supreme court and,9
you know i,9
we have seen,9
in both parties,9
will instruct the,9
greatest national security,9
federal government and,9
the same thing,9
the ayatollah khomeini,9
the republican party,9
and the american,9
was going to,9
illegal and unconstitutional,9
and by the,9
i would note,9
city on a,9
in the media,9
abolish the irs,9
every word of,9
that debate stage,9
of the republican,8
death to america,8
in fact the,8
to pay for,8
president obama has,8
single greatest national,8
tell you what,8
is a reason,8
out of the,8
is very very,8
we should abolish,8
health insurance personal,8
if this deal,8
instruct the department,8
barack obama will,8
millions of dollars,8
took the lead,8
on the other,8
word of obamacare,8
in the eyes,8
repeal every word,8
all across america,8
preaching the gospel,8
i will go,8
years in a,8
or her taxes,8
personal and portable,8
care reform that,8
single illegal and,8
every single illegal,8
of americans rose,8
a nuclear weapon,8
if you think,8
this is a,8
leadership in both,8
of the aisle,8
and unconstitutional executive,8
fed up with,8
leadership took the,8
to murder americans,8
do that we,8
americans who are,8
of those who,8
not willing to,8
across the world,8
selling the body,8
to the polls,8
same thing is,8
the irs and,8
the budget caps,8
the democratic party,8
this country around,8
of religious liberty,8
i'm elected president,8
if i'm elected,8
in the first,8
over again the,8
uss supreme court,8
to shreds this,8
thing is happening,8
candidate for president,8
and security of,8
if you look,8
to stand and,8
get burned again,8
planned parenthood is,8
you for your,8
we will stop,8
americans rose up,8
the united nations,8
stand up to,8
the safety and,8
we do that,8
fill out his,8
the lives of,8
her taxes on,8
safety and security,8
go to congress,8
with all of,8
people are frustrated,8
let me give,8
under no circumstances,8
want to say,8
in addition to,8
and the people,8
the bad guys,8
insurance personal and,8
millions of us,8
out his or,8
this deal goes,8
couple of weeks,8
the uss supreme,8
congress and we,8
should abolish the,8
of law abiding,8
republican leadership took,8
deal goes through,8
the other side,8
so many fear,8
want to talk,7
a word of,7
the american embassy,7
and all across,7
will stand up,7
and the other,7
other federal agency,7
tell you when,7
to say to,7
the same time,7
the national security,7
will not be,7
and we won,7
the power of,7
of dollars of,7
i would encourage,7
career politicians in,7
shreds this catastrophic,7
i ll tell,7
at home the,7
history of the,7
the grass roots,7
you and i,7
we won't do,7
a commander in,7
assault on our,7
to table the,7
to do is,7
the first thing,7
the lead in,7
won't do anything,7
irs and every,7
great state of,7
is we need,7
the persecution of,7
for the entire,7
member of the,7
we were told,7
to do anything,7
women of this,7
of the democrats,7
of the planet,7
pastor saeed abedini,7
i have to,7
we can do,7
much more dangerous,7
justice to open,7
the great state,7
the mainstream media,7
washington d c,7
second amendment is,7
and the irs,7
thank you and,7
that the persecution,7
what does it,7
tell you the,7
justice and the,7
you want a,7
of the federal,7
of the land,7
country millions of,7
a republican house,7
islamic terrorism and,7
come from washington,7
first thing i,7
why is it,7
some of the,7
power of the,7
tell you i,7
open an investigation,7
across the country,7
imagine millions of,7
over a hundred,7
more dangerous place,7
agency that the,7
law of the,7
that we have,7
booming economic growth,7
they don't do,7
and a half,7
second amendment right,7
a time for,7
persecution of religious,7
security threat facing,7
by the end,7
how many of,7
doesn't believe in,7
no circumstances will,7
prime minister netanyahu,7
the world's leading,7
for seven years,7
ll tell you,7
this country millions,7
united states and,7
a whole lot,7
a pattern of,7
that is what,7
stand and fight,7
of a nuclear,7
federal agency that,7
where we are,7
unconstitutional executive amnesty,7
of men and,7
should not be,7
a man who,7
i will say,7
to open an,7
look at the,7
of this deal,7
we are today,7
millions of men,7
at the same,7
of justice and,7
who has the,7
has stood up,7
in this room,7
to keep this,7
and then the,7
anything to stop,7
of justice to,7
tidal wave election,7
and every one,7
we know that,7
every other federal,7
we don't have,7
a number of,7
and every other,7
the ten commandments,7
of us here,7
is not a,7
of america the,7
to come to,7
want to thank,7
rose up and,7
in chief who,7
president who will,7
be willing to,7
we're going to,7
world a much,7
a president willing,6
to talk about,6
of the people,6
wanna talk to,6
this is the,6
listen to what,6
candidate who has,6
he's got a,6
finally secure the,6
imagine a federal,6
almighty with all,6
and women in,6
that means the,6
on the ground,6
on the floor,6
led the fight,6
to secure the,6
reigniting the promise,6
and fight for,6
the third thing,6
go to the,6
on the republican,6
turn this country,6
who elected us,6
begin the process,6
very very much,6
things would be,6
have a president,6
standing up to,6
ask everyone here,6
american embassy in,6
who want to,6
the votes were,6
obama will veto,6
to president obama,6
of planned parenthood,6
don't do what,6
and if we,6
an investigation into,6
leadership is not,6
is happening again,6
consequence of this,6
a much more,6
lost their doctors,6
of moving the,6
you have a,6
pass a simple,6
you know the,6
be a whole,6
of months ago,6
tell you this,6
us department of,6
to that i,6
of barack obama's,6
he doesn't believe,6
i agree with,6
the house and,6
four years in,6
those americans who,6
to radical islamic,6
that was a,6
we will have,6
you wanna know,6
the obama justice,6
our children and,6
and i ll,6
countries russia and,6
of the president,6
scripture tells us,6
coming together and,6
lead in funding,6
i barack obama,6
moving the american,6
and i want,6
the problem is,6
unconstitutional executive action,6
and god bless,6
and chuck schumer,6
osama bin laden,6
and standing together,6
the republican side,6
that president obama,6
marriage and religious,6
very much like,6
part time work,6
children and grandchildren,6
president willing to,6
bear arms and,6
that has made,6
as much as,6
abolishing the irs,6
i gotta tell,6
veto funding for,6
need to defend,6
of the things,6
terrorist attack that,6
end sanctuary cities,6
is standing with,6
it is the,6
into planned parenthood,6
you know this,6
would note by,6
never been higher,6
in order to,6
if the standard,6
wonder the american,6
the last seven,6
funding for the,6
one of you,6
god bless the,6
at the outset,6
of justice should,6
bankrupting our kids,6
republican leadership is,6
if we do,6
have never been,6
you and your,6
willing to stand,6
billion dollars to,6
exact same countries,6
god bless you,6
justice away from,6
over the world,6
all across the,6
you and god,6
politicians in both,6
taxpayer money to,6
process of moving,6
you know i'm,6
multiple criminal investigations,6
acquire nuclear weapons,6
in bed with,6
we're here today,6
god almighty with,6
us rose up,6
proud to stand,6
failed economic policies,6
me give you,6
by president obama,6
follow the constitution,6
100 billion to,6
the working men,6
lost their health,6
to jerusalem the,6
to be with,6
in recent weeks,6
the iranian nuclear,6
do what they,6
we went to,6
again the american,6
the democrats and,6
of eight years,6
when he was,6
the us department,6
we voted on,6
that goes after,6
the citizens of,6
i wanna talk,6
the reason is,6
bust the budget,6
friends in the,6
you this morning,6
to tear down,6
end of eight,6
to you this,6
republican majorities in,6
hope and encouragement,6
that we are,6
a hill that,6
here today because,6
hundred billion dollars,6
any and all,6
standing with the,6
addition to that,6
of america and,6
of new hampshire,6
we should not,6
note by the,6
100 billion dollars,6
to go to,6
be able to,6
investigation into planned,6
justice should be,6
no no no,6
we had the,6
the new york,6
here at home,6
go after the,6
and end sanctuary,6
the republican donors,6
republican leadership in,6
watch these videos,6
of us rose,6
to acquire nuclear,6
in front of,6
fact the exact,6
would be different,6
the stakes are,6
and the world,6
you know if,6
will take on,6
to speak to,6
folks in the,6
the process of,6
table the tree,6
and millions of,6
at the time,6
talk to you,6
of the senate,6
at a time,6
here a chunk,6
to utter the,6
nuclear weapons if,6
obama justice department,6
today in the,6
a bunch of,6
the only way,6
gotta tell you,6
the purpose of,6
i tell you,6
keep this country,6
our 2nd amendment,6
borders and end,6
votes were always,6
national security interests,6
threat of a,6
a private organization,6
to go after,6
get 67 votes,6
finally finally secure,6
to the white,6
to stand on,6
of hope and,6
it will be,6
pattern of felonies,6
will veto funding,6
same countries russia,6
instead the millions,6
one of those,6
we want to,6
the instead of,6
cents an hour,6
and we need,6
tonight is a,6
government that works,6
hill that is,5
analogy gives me,5
american people and,5
to thank the,5
life and marriage,5
for you and,5
then things would,5
united states we,5
and women rose,5
of the government,5
liberty or give,5
and they are,5
a vote on,5
our friends in,5
i would say,5
and became the,5
you know you,5
five years ago,5
a legal immigration,5
one justice away,5
they said they,5
mitch mcconnell and,5
allowed to acquire,5
and we had,5
to america with,5
if only we,5
up and became,5
to the supreme,5
and when it,5
rules of engagement,5
boots on the,5
and my father,5
but if we,5
you don't have,5
what we do,5
repealing every word,5
are one justice,5
women rose up,5
to the nation,5
that means that,5
the simple reality,5
i'd like to,5
receded from leadership,5
with the nation,5
soldiers and sailors,5
unapologetically with the,5
right now if,5
the people and,5
harry reid the,5
our country is,5
commonsense health care,5
special interests and,5
you know we,5
the world to,5
of the obama,5
we are at,5
constitutional rights are,5
the constitution and,5
in january 2017,5
supreme court defending,5
how that story,5
blind to party,5
i am so,5
is that you,5
the polls and,5
a small business,5
six years ago,5
up and says,5
and sailors and,5
nation in the,5
only way to,5
this country was,5
reid and the,5
will repeal every,5
by its name,5
look in the,5
with the american,5
the millions who,5
court defending the,5
you what i,5
my whole life,5
a week ago,5
who has stood,5
end of the,5
and that is,5
coming out of,5
and portable and,5
there will be,5
that the next,5
airmen and marines,5
a new president,5
circumstances will iran,5
who have been,5
want to be,5
spirit of revival,5
support a candidate,5
people of faith,5
much hope and,5
the country and,5
he's going to,5
a year ago,5
states supreme court,5
george w bush,5
we surrender we,5
the senate floor,5
lobbyists and special,5
has receded from,5
all the time,5
the course of,5
that would have,5
vote for hillary,5
the fight to,5
to vote for,5
what they said,5
first of all,5
for a second,5
is a victory,5
and optimism because,5
nation of iran,5
nothing new under,5
loretta lynch the,5
you know it's,5
now i will,5
to achieve the,5
willing to take,5
elected president on,5
this iranian nuclear,5
much like the,5
under the sun,5
america with nothing,5
and that's the,5
last seven years,5
and special interests,5
the idea that,5
the late nineteen,5
it down and,5
the priorities of,5
rights are under,5
misery stagnation and,5
that analogy gives,5
sailors and airmen,5
together as one,5
in this race,5
the obama administration's,5
on the senate,5
out to the,5
like the late,5
down and republican,5
say to the,5
policy in fact,5
cold war and,5
be allowed to,5
this deal is,5
ago today the,5
give me liberty,5
obama and the,5
waking up and,5
on the way,5
to take on,5
the washington establishment,5
the syrian civil,5
republicans and democrats,5
to america under,5
shut it down,5
new under the,5
same misery stagnation,5
we are one,5
portable and affordable,5
you need to,5
fight over obamacare,5
want to speak,5
in 2013 when,5
obama administration is,5
between you and,5
word of hope,5
and harry reid,5
that makes health,5
up in prayer,5
was at the,5
the house of,5
idea that the,5
the planned parenthood,5
became the reagan,5
united states supreme,5
does it say,5
for the crime,5
it is to,5
in the middle,5
come to america,5
malaise the same,5
and grow government,5
president we will,5
united states has,5
the fight against,5
the constitution but,5
america and the,5
together and standing,5
are under assault,5
is the united,5
can fill out,5
late nineteen seventies,5
just a few,5
new york times,5
that the revolutionary,5
if you wanna,5
the first democratic,5
of a federal,5
they would do,5
from washington washington,5
today is very,5
washington washington despised,5
is on the,5
appears to be,5
optimism because we,5
the irs the,5
criminal illegal aliens,5
financier of radical,5
getting in between,5
your cell phones,5
everyone here to,5
look to the,5
is in crisis,5
ronald reagan and,5
right to life,5
on the campaign,5
voted on it,5
and iran openly,5
the second thing,5
a recorded vote,5
barack obama's priorities,5
by the pen,5
and shut it,5
dollars of taxpayer,5
me so much,5
and malaise the,5
past couple of,5
every bit as,5
i think the,5
obama administration will,5
the entire federal,5
going to the,5
stories these are,5
you and me,5
get back to,5
a victory for,5
or give me,5
am elected president,5
makes health insurance,5
constitution of the,5
hope and optimism,5
support the second,5
chuck schumer and,5
and if you,5
iran from acquiring,5
dollars will go,5
out of washington,5
the campaign trail,5
the way you,5
in this chamber,5
same failed economic,5
